#RIC,Date-Time,Type,Price,Volume,Bid Price,Bid Size,Ask Price,Ask Size,direction
GSK.L,2011-02-01T07:50:00.089774000Z,Quote,,,1127,135,1172,2000,0
GSK.L,2011-02-01T07:50:02.746387000Z,Quote,,,1127,135,1095,5726,0
GSK.L,2011-02-01T07:50:02.746387000Z,Auction,1125,5726,1127,,1095,,0
GSK.L,2011-02-01T07:50:02.746387000Z,Quote,,,1127,135,1095,8252,0
GSK.L,2011-02-01T07:50:02.746387000Z,Auction,1115,8252,1127,,1095,,0
GSK.L,2011-02-01T07:50:02.746387000Z,Quote,,,1127,135,1095,41681,0
GSK.L,2011-02-01T07:50:02.746387000Z,Auction,1100,41681,1127,,1095,,0
GSK.L,2011-02-01T07:50:02.793257000Z,Quote,,,1127,685,1095,41681,0
GSK.L,2011-02-01T07:50:02.793257000Z,Auction,1110,41681,1127,,1095,,0
GSK.L,2011-02-01T07:50:02.900612000Z,Quote,,,1127,685,1095,42681,0
GSK.L,2011-02-01T07:50:02.900612000Z,Auction,1100,42681,1127,,1095,,0
GSK.L,2011-02-01T07:50:05.556343000Z,Quote,,,1127,685,1095,42901,0
GSK.L,2011-02-01T07:50:05.556343000Z,Auction,1100,42901,1127,,1095,,0
GSK.L,2011-02-01T07:50:05.607756000Z,Quote,,,1127,5727,1095,42901,0
GSK.L,2011-02-01T07:50:05.607756000Z,Auction,1110,42901,1127,,1095,,0
GSK.L,2011-02-01T07:50:09.606809000Z,Quote,,,1128,5642,1095,42901,0
GSK.L,2011-02-01T07:50:11.935323000Z,Quote,,,1128,9464,1095,42901,0
GSK.L,2011-02-01T07:50:12.213336000Z,Quote,,,1128,9464,1095,43243,0
GSK.L,2011-02-01T07:50:12.213336000Z,Auction,1110,43243,1128,,1095,,0
GSK.L,2011-02-01T07:50:19.431223000Z,Quote,,,1128,9464,1095,43775,0
GSK.L,2011-02-01T07:50:19.431223000Z,Auction,1110,43775,1128,,1095,,0
GSK.L,2011-02-01T07:50:20.711820000Z,Quote,,,1196,12114,1095,43775,0
GSK.L,2011-02-01T07:50:21.264512000Z,Quote,,,1196,16978,1095,43775,0
